,name,Likes,tags,quote
373,Pawan Mishra,2 likes,"aspiring-writers,authors,books,creative-people,creative-process,creative-writing,creativity,fiction,fundamentals-of-creative-writing,fundamentals-of-writing,imagination,literature,on-writing,power-of-words,quotes-on-writing,reading,short-story,show-don-t-tell,stories,story-writing,storytelling,tactile-imagery,tips-on-writing,write,writers,writing,writing-advice,writing-craft,writing-fiction,writing-style","“Create a world in front of your readers where they can taste, smell, touch, hear, see, and move. Or else they are likely going to move on to another book.”"
374,Pawan Mishra,2 likes,"aspiring-writers,authors,books,capture-dreams,creative-people,creative-process,creative-writing,creativity,fiction,fundamentals-of-creative-writing,fundamentals-of-writing,imagination,literature,on-writing,power-of-words,quotes-on-writing,reading,remember-dreams,short-story,stories,story-writing,storytelling,tips-on-writing,write,writers,writing,writing-advice,writing-craft,writing-fiction,writing-style",“Dreams are good at playing with your memory. They love leaving no trace behind and hate to show up once again in the morning.”
375,Margaret Atwood,2 likes,"authors,books,literature,reading,writers,writing",“That is how we writers all started: by reading. We heard the voice of a book speaking to us.”
376,Pawan Mishra,1 likes,"aspiring-writers,authors,books,creative-people,creative-process,creative-writing,creativity,fiction,fundamentals-of-creative-writing,fundamentals-of-writing,literature,on-writing,power-of-words,quotes-on-writing,reading,short-story,stories,story-writing,storytelling,tips-on-writing,write,writers,writing,writing-advice,writing-craft,writing-fiction,writing-style","“If you think there is no time to write now, there will never be.”"
377,Pawan Mishra,1 likes,"aspiring-writers,authors,books,creative-people,creative-process,creative-writing,creativity,fiction,fundamentals-of-creative-writing,fundamentals-of-writing,literature,on-writing,power-of-words,quotes-on-writing,reading,short-story,stories,story-writing,storytelling,tips-on-writing,write,writers,writing,writing-advice,writing-craft,writing-fiction,writing-from-the-heart,writing-ideas,writing-style",“Ideas either age like fine wine or rot like potatoes over time.”
378,Pawan Mishra,1 likes,"artist,arts-and-humanities,aspiring-writers,authors,books,creative-people,creative-process,creative-writing,creativity,fiction,fundamentals-of-creative-writing,fundamentals-of-writing,literature,on-writing,power-of-words,quotes-on-writing,reading,short-story,stories,story-writing,storytelling,tips-on-writing,write,writers,writing,writing-advice,writing-craft,writing-fiction,writing-style","“If you are a singer, you must sing. If you are a dancer, you must dance. If you are a writer, you must write. Don’t suffocate your heart.”"
379,Pawan Mishra,1 likes,"aspiring-writers,authors,books,creative-people,creative-process,creative-writing,creativity,fiction,fundamentals-of-creative-writing,fundamentals-of-writing,literature,on-writing,power-of-words,quotes-on-writing,reading,short-story,stories,story-writing,storytelling,tips-on-writing,write,writers,writing,writing-advice,writing-craft,writing-fiction,writing-style","“As you become a better writer, the writing becomes more difficult. You toil harder to tell a story in a smaller number of words.”"
380,Pawan Mishra,1 likes,"aspiring-writers,authors,books,cliches,creative-writing,fiction,fundamentals-of-creative-writing,fundamentals-of-writing,literature,on-writing,power-of-words,quotes-on-writing,reading,short-story,stories,story-writing,storytelling,tips-on-writing,write,writers,writing,writing-advice,writing-craft,writing-fiction,writing-style",“Clichés are the viruses that infect your writing with diseases.”
381,Robin Sacredfire,1 likes,"authors,books,ebooks,success,success-as-author,writers,writing","“The secret to success is no secret. Be honest in your words, be trustworthy and share value. Most people won't tell the difference, but those that do are your readers.”"
382,Robin Sacredfire,1 likes,"authors,book-writing,books,creative-writing,writers,writing",“It comes a point in which you don't know if you write books or the books write you”
383,Pawan Mishra,0 likes,"aspiring-writers,authors,books,creative-people,creative-process,creative-writing,creativity,fiction,fundamentals-of-creative-writing,fundamentals-of-writing,literature,on-writing,power-of-words,quotes-on-writing,reading,short-story,stories,story-writing,storytelling,tips-on-writing,write,writers,writing,writing-advice,writing-craft,writing-fiction,writing-style","“If certain aspect needs to be inconsistent, it must better be consistently inconsistent throughout the story.”"
384,Natasha Tsakos,0 likes,"authors,beckett,moliere,shakespeare,tenessee,theatre","“I have Shakespeared my Moliere to Tenessee, and I am Wild for Becket!"
385,Chris Mentillo,0 likes,"author,author-quotes,author-quotes-quotes,authors,famous,famous-authors,famous-leadership-quotes,famous-people,famous-poets,famous-quote,famous-quotes,famous-quotes-from-classic-books,quotes,quotes-about-life,quotes-on-life,quotes-to-live-by,writer,writers,writers-inspiration,writers-quotes,writing-life","“Don't ever rely on one job, business contact, etc for your main source of income. Receive multiple sources of income for success.”"
386,Shirley Jackson,0 likes,"authors,delusions,falsehoods,fantasy,oddness,truth,writers,writing","“The children around our house have a saying that everything is either true, not true, or one of Mother's delusions. Now, I don't know about the true things or the not-true things, because there seem to be so many of them, but I do know about Mother's delusions, and they're solid. They range from the conviction that the waffle iron, unless watched, is going to strangle the toaster, to the delusion that electricity pours out of an empty socket onto your head, and nothing is going to change any one of them."
387,Ashapurna Devi,0 likes,"authors,writers,writing","“কথাশিল্পীকে এমন 'কথা' নিয়েই লিখতে হবে যাকে বর্তমানকালই নগদ বিদায় দিয়ে চুকিয়ে দেবে না, পরবর্তীকালও যার দেনা শোধ করবে।”"
388,Robin Sacredfire,0 likes,"authors,management,money,wealth,writers,writing","“We only pay for what we admire, want and recognize as necessary, even when a cup of coffee is priced at the same value of a book that can change our entire future.”"
389,Ash Gray,0 likes,"authors,humor,humorous,spirituality","“I’m a dot in the grand scheme of things. I don’t matter, not even to the other dots.”"
390,Imania Margria,7 likes,"author,author-quote,author-quotes,authors,imania-margria,inspirational,inspirational-life,inspirational-quote,inspirational-quotes,inspire,inspiring,inspiring-author,inspiring-authors,inspiring-quotes,inspiring-quotes-on-life,inspiring-thoughts,inspiring-words,inspiring-writer,inspiring-writers,life,life-and-living,life-lesson,life-lessons,life-lessons-quotes,life-quotes,love,love-quotations,love-quote,love-quotes,love-quotes-and-sayings,motivate,motivation,motivation-quotes,motivational,motivational-inspirational,motivational-quote,motivational-quote-of-the-day,motivational-quotes,peace,peace-quote,understanding,understanding-oneself-and-others,understanding-others,understanding-people,understanding-quotes,unity,unity-in-love,unity-of-all-people,unity-quotes,wisdom,wisdom-quotes,wise-sayings,wise-words","“In times of division and strife, build bridges to the hearts of those clouded by anger, hurt, hatred, and ignorance, so you can help open and understand their minds and hearts, and they can understand yours.”"
391,Pawan Mishra,7 likes,"art,arts-and-humanities,aspiring-writers,authors,books,creative-process,creative-writing,fiction,fundamentals-of-creative-writing,fundamentals-of-writing,literature,on-writing,power-of-words,quotes-on-writing,reading,short-story,stories,story-writing,storytelling,tips-on-writing,write,writers,writing,writing-advice,writing-craft,writing-fiction,writing-style",“Be a good reader first if you wish to become a good writer.”
392,Imania Margria,6 likes,"author,author-quotes,authors,beauty,dreams,goals,goals-in-life,imania-margria,inspiration,inspirational,inspirational-quote,inspirational-quotes,inspire,inspiring,inspiring-author,inspiring-authors,inspiring-quotes,inspiring-quotes-on-life,inspiring-thoughts,inspiring-words,inspiring-writer,inspiring-writers,life,life-and-living,life-goals,life-lesson,life-lessons,life-lessons-quotes,life-quotes,love,love-goals,love-quote,love-quotes,love-quotes-and-sayings,mind,motivate,motivation,motivational,motivational-inspirational,motivational-quotations,motivational-quote,motivational-quotes,passion,passions,peace,serenity,soul,tranquility","“Sometimes you just have to find something to keep your body grounded, your mind flexible, and your heart open.”"
393,Imania Margria,2 likes,"author,authors,beauty,beauty-in-life,beauty-of-life,imania-margria,inspiration,inspirational,inspirational-quote,inspirational-quotes,inspire,inspiring,inspiring-author,inspiring-authors,inspiring-quotes,inspiring-thoughts,inspiring-words,inspiring-writer,inspiring-writers,life,life-lesson,life-lessons,life-quotes,motivate,motivation,motivational,motivational-inspirational,motivational-quote,motivational-quotes,quote,quote-of-the-day,quotes,quotes-to-live-by,true-beauty,wisdom,words-of-wisdom,words-to-live-by","“When regret and shame fades away, beauty will be in your heart to forever stay.”"
394,Lily Amis,2 likes,"authors,followers,likes,reviews",“Authors need readers and not followers. Authors need review and not Likes!”
395,Donalyn Miller,2 likes,"authors,books,characters,quotes-about-books,readers,reading,reading-as-art,reading-community,reading-quotes,sharing-books","“Every book begins and ends with other people- the readers who suggest the book to us and encourage us to read it, the talented author who crafted each word, the fascinating individuals we meet inside the pages- and the readers we discuss and share the book with when we finish.”"
396,Ana Claudia Antunes,2 likes,"approval-of-others,authors,bad-reviews,book-reviews,books,disappointment,evaluating,evaluation,failure-and-success,fiction-writing,nreading,opinions,rates,readers-and-writers,reading-books,reviewed,reviewers,reviews,writers,writing,writing-books,writing-process","“? Reviews are for readers AND authors. It’s a good way of learning from what people think about the work. Being it good or bad. A book might as well be hurt by a bad, poorly written review. That’s such a pity. Some people don’t know how to express themselves, and maybe that’s why they are just readers and not writers, others read a book like chewing a cupcake. That’s too bad. If that was not your cup of tea, leave it there, untouched. Don’t go bash the author for that. But if you really hate the book, why bother telling others. It’s your problem after all. You can give constructive opinions but don’t blame the author for your different tastes and views. Also authors shouldn’t comment on reviews, it sounds unprofessional, even silly. Some busy writers don’t even have time to read what other people say about their work. If someone enjoyed your book, or not, that is irrelevant. If you will continue or not to write something else it doesn´t add to the plate.. Besides, why bother commenting on a review, just read it and shut up. Being it good or bad. So my opinions about authors commenting on reviews is just my opinions after all!”"
397,Chris Mentillo,2 likes,"author,author-quotes,author-quotes-quotes,authors,famous,famous-authors,famous-leadership-quotes,famous-people,famous-poets,famous-quote,famous-quotes,famous-quotes-from-classic-books,quotes,quotes-about-life,quotes-on-life,quotes-to-live-by,writer,writers,writers-inspiration,writers-quotes,writing-life-0-likes","“Forget about how old you are, and get busy.”"
398,Τηλέμαχος Κώτσιας,1 likes,"authors,literature,stories,writers","“Μα εμείς οι συγγραφείς, για κάτι ξεχασμένους κόσμους υπάρχουμε.”"
399,Wyketha K Parkman,1 likes,"authors,inspirational-quotes,readers,writers",“You know you are a writer when you talk about your characters as if they were real people!”
400,Wyketha K Parkman,1 likes,"authors,inspirational,readers,writers","“My mouth is not talking, my fingers are!”"
401,Robin Sacredfire,1 likes,"authors,coffee,writers","“Blessed are the ones who offer coffee to writers, for they will get all the rewards mentioned in the Bible, the Quran, the Vedas, the Upanishads and the Bhagavad Gita.”"
402,Michelle Franklin,1 likes,"authors,bacon,coffee,creativity,sleep,writers","“There are two gradations of cold that are always acceptable: Mild Frost, which is preferable for reading and writing and any other activity done indoors, and Absolute Zero, which is the only temperature suitable for sleep. There is nothing more delicious than being swathed in a cocoon of blankets and awaking with a nose frosted over with rime, and once I do achieve vampiric heights and fall asleep with the mastery of a corpse lately dead, I am best left alone until I wake up at my usual time. I do tend to bite when rattled out of my flocculent coffin, and everyone in my building knows never to disturb me during the early morning hours. Authors, being crepuscular creatures, should never be roused before 11am: the creative mind is never turned off; it only dies momentarily and its revived by the scent of coffee at the proper time."
403,Chris Mentillo,1 likes,"author,author-quotes,author-quotes-quotes,authors,famous,famous-authors,famous-leadership-quotes,famous-people,famous-poets,famous-quote,famous-quotes,famous-quotes-from-classic-books,quotes,quotes-about-life,quotes-on-life,quotes-to-live-by,writer,writers,writers-inspiration,writers-quotes,writing-life",“Stop now and decide to never worry again about what others think about you.”
404,Pawan Mishra,1 likes,"aspiring-writers,authors,books,creative-people,creative-process,creative-writing,creativity,fiction,fundamentals-of-creative-writing,fundamentals-of-writing,literature,on-writing,power-of-words,quotes-on-writing,reading,short-story,stories,story-writing,storytelling,tips-on-writing,write,writers,writing,writing-advice,writing-craft,writing-fiction,writing-style",“A writer can do without food for a few hours but not without the sight of books.”
405,Robin Sacredfire,0 likes,"author,authors,writers,writers-life,writing","“Most people think that making a living from books is fun or joyful, but there's much more to it than what the eyes can see, and I wish I had more time for more profitable and also joyful activities.”"
406,Imania Margria,0 likes,"author,author-quote,author-quotes,authors,imania-margria,inspiration,inspirational,inspirational-life,inspirational-love,inspirational-quote,inspirational-quotes,inspirational-quotes-about-life,inspire,inspiring,inspiring-author,inspiring-authors,inspiring-quotes,inspiring-quotes-on-life,inspiring-thoughts,inspiring-words,inspiring-writer,inspiring-writers,life,life-and-living,life-lesson,life-lessons,life-lessons-quotes,life-philosophy,life-quotes,love,love-philosophy,love-quotations,love-quote,love-quotes,love-quotes-and-sayings,motivate,motivation,motivational,motivational-inspirational,motivational-quotations,motivational-quote,motivational-quote-of-the-day,motivational-quotes",“Be careful because brazen behavior and a powerful mind can hide a delicate heart.”
407,Imania Margria,0 likes,"author,author-quotes,authors,beauty,imania-margria,inspiration,inspirational,inspirational-quote,inspirational-quotes,inspire,inspiring,inspiring-author,inspiring-authors,inspiring-quotes,inspiring-quotes-on-life,inspiring-thoughts,inspiring-words,inspiring-writer,inspiring-writers,life,life-and-living,life-lesson,life-lessons,life-lessons-quotes,life-quotes,love,love-quote,love-quotes,love-quotes-and-sayings,mind,motivate,motivation,motivational,motivational-inspirational,motivational-quotations,motivational-quote,motivational-quotes,soul","“Being able to inspire the body is an easy feat, but being able to inspire the soul as well is true talent.”"
408,Chris Mentillo,0 likes,"author-quotes,authors,books,famous,famous-people,famous-quotes,goodreads,goodreads-authors,horror-authors,horror-writers,jobseeking,q,quotes-and-saying,quotes-from-authors,quotes-from-horror-authors,quotes-from-writers,quotes-to-live-by,science-fiction-author,science-fiction-writers,writer-quotes,writers-quotes","“In The End, Humans Will Become Humans Own Worst Enemy.”"
409,Chris Mentillo,0 likes,"author-quotes,authors,books,famous,famous-people,famous-quotes,goodreads,goodreads-authors,horror-authors,horror-writers,jobseeking,q,quotes-and-saying,quotes-from-authors,quotes-from-horror-authors,quotes-from-writers,quotes-to-live-by,science-fiction-author,science-fiction-writers,writer-quotes",“They're Coming.”
410,Robin Sacredfire,0 likes,"author,authors,book-writing,writer,writers,writers-on-writing",“Pretend you're not spending $3 to read one of my books but buying me a coffee and having a conversation about yourself.”
411,Wyketha K Parkman,0 likes,"authors,inspirational-quotes,readers,short-stories",“Raining with words; words becomes sentences; sentences becomes a paragraph and paragraphs becomes a short story!”
412,Henry James,0 likes,"authors,imagination,readers,reading,writers",“Nothing irritates me so as the flatness of people’s imagination.”
413,Chris Mentillo,0 likes,"author,author-quotes,author-quotes-quotes,authors,famous,famous-authors,famous-leadership-quotes,famous-people,famous-poets,famous-quote,famous-quotes,famous-quotes-from-classic-books,quotes,quotes-about-life,quotes-on-life,quotes-to-live-by,writer,writers,writers-inspiration,writers-quotes,writing-life","“You can have practically anything you want in this world, if you have great credit.”"
414,Kyoko Yoshida,0 likes,"authors,ban,books,booksactually,gold-standard,ireadbooksactually,literature,logical,memory,mouth,poets,reading,reciting,rereading,singapore-literature,storytellers,writers,writing","“If rewriting equals rereading, we must logically conclude that writing is reading. If this is indeed the case, how could we possibly write under a ban on reading? The only way left is mouth-to-mouth – poets and storytellers recite their pieces and before we can commit them to memory, everything vanishes into thin air.”"
415,Chris Mentillo,0 likes,"author,author-quotes,author-quotes-quotes,authors,famous,famous-authors,famous-leadership-quotes,famous-people,famous-poets,famous-quote,famous-quotes,famous-quotes-from-classic-books,quotes,quotes-about-life,quotes-on-life,quotes-to-live-by,writer,writers,writers-inspiration,writers-quotes,writing-life-0-likes",“Get out of your comfort zone and go for it. I do this when I apply for lead acting parts in feature movies.”
416,Chris Mentillo,0 likes,"author,author-quotes,author-quotes-quotes,authors,famous,famous-authors,famous-leadership-quotes,famous-people,famous-poets,famous-quote,famous-quotes,famous-quotes-from-classic-books,quotes,quotes-about-life,quotes-on-life,quotes-to-live-by,writer,writers,writers-inspiration,writers-quotes,writing-life","“Some of my greatest successes in business are simply the result of taking huge, calculated risks.”"
417,Chris Mentillo,0 likes,"author,author-quotes,author-quotes-quotes,authors,famous,famous-authors,famous-leadership-quotes,famous-people,famous-poets,famous-quote,famous-quotes,famous-quotes-from-classic-books,quotes,quotes-about-life,quotes-on-life,quotes-to-live-by,writer,writers,writers-inspiration,writers-quotes,writing-life","“Start having more confidence in yourself, and others will do the same.”"
418,Chris Mentillo,0 likes,"author,author-quotes,author-quotes-quotes,authors,famous,famous-authors,famous-leadership-quotes,famous-people,famous-poets,famous-quote,famous-quotes,famous-quotes-from-classic-books,quotes,quotes-about-life,quotes-on-life,quotes-to-live-by,writer,writers,writers-inspiration,writers-quotes,writing-life-likes","“Have you noticed how prejudice still exists today? For instance, now they challenge famous people for their past achievements: People like Christopher Columbus and now even Vince Lombardi. Nothing surprises me. I never grew-up with prejudices against anyone. I don't care what color you are or where you came from. This sort of stuff to me never made sense. You see I grew up in an ""educated family."" Education teaches you not to be so ignorant.”"
419,Robin Sacredfire,0 likes,"altruism,author,authors,authorship,daniel-marques,freemasonry,illuminati,kindness,positivism,research,rosicrucianism,secret-societies,warm-hearted,writer,writers,writing","“I could doubt the value of my books as much as many do, except that, as a researcher and very curious person, I do read a lot too, and can clearly see the difference in value between what I do and what others do. I have no doubt that my books have much more value than nearly all others out there, and it wouldn't make sense for me to be an author if I couldn't see that, or if I saw the opposite, as I believe that, if we're not upgrading mankind, we're just making it lost and vulnerable to the claws of ignorance.”"
420,Philippa Dowding,10 likes,"antagonist,authors,evilness,monster,monsters,psychology,psychopath,villian,writing,writing-inspiration",“You -have- to love your monster.”
421,Ettore Scola,8 likes,"authors,book-lovers,characters,classic-literature,culture,imagination,ispirational,librarians","“...because there's a secret order. The books, you can't place them random. The other day I put Cervantes next to Tolstoj."
422,Mokokoma Mokhonoana,6 likes,"acceptable,accomplishment,account,accounts,adeptness,admissible,agony,aphorism,aphorisms,aphorist,aphorists,appreciation,apprehension,author,authors,awareness,be-acquainted-with,be-conversant-with,be-familiar-with,be-up-to-speed-on,be-versed-in,benighted,book,books,brookable,capability,capacity,cognition,cognizance,command,comprehend,comprehension,consciousness,cultivated,cultured,desolation,despair,discomfort,distress,educated,education,endurable,enlightened,entertain,entertaining,entertainment,erudite,erudition,escape,escapism,essay,essays,expertise,expertness,fiction,funny,grasp,grief,have-a-grasp-of,have-knowledge-of,have-learned,have-mastered,have-memorized,heartache,heartbreak,hilarious,humor,humorous,humour,ignorance,ignorant,illiterate,inexperienced,insufferable,insupportable,intolerable,joke,jokes,know,knowledgable,knowledge,knowledgeable,learned,learning,literature,man-of-letters,manageable,mastery,men-of-letters,misery,narrative,narratives,nonfiction,novel,overpowering,pain,perception,proficiency,quotations,quotes,realization,sadness,satire,scholarly,scholarship,schooling,skill,sorrow,stories,story,sufferable,suffering,supportable,sustainable,tolerable,too-much,torment,torture,unacceptable,unbearable,understand,understanding,uneducated,unendurable,unenlightened,unhappiness,uninformed,unknowledgeable,unlearned,unlettered,unmanageable,unread,unschooled,unsophisticated,untaught,untrained,untutored,unworldly,via-dolorosa,well-educated,well-informed,well-read,wisdom,woman-of-letters,women-of-letters,wretchedness,writer,writers","“It is usually unbearably painful to read a book by an author who knows way less than you do, unless the book is a novel.”"
423,Joan Didion,5 likes,"authors,existence,joan-didion,literature,writing",“Certain places seem to exist mainly because someone has written about them.”
424,Pat Conroy,5 likes,"authors,fortunate,gratitude,pat-conroy,readers-and-writers,writing","“If any writer in this country has collected as fine and passionate a group of readers as I have, they’re fortunate and lucky beyond anyone’s imagination. It remains a shock to me that I’ve had a successful writing career. Not someone like me; Lord, there were too many forces working against me, too many dark currents pushing against me, but it somehow worked. Though I wish I’d written a lot more, been bolder with my talent, more forgiving of my weaknesses, I’ve managed to draw a magic audience into my circle. They come to my signings to tell me stories, their stories. The ones that have hurt them and made their nights long and their lives harder.”"
425,A.L. Mabry,4 likes,"authors,writing,writing-advice,writing-inspiration",“Remember: Bad timing equals great plot twists.”
426,R.L. Hemlock,3 likes,"authors,inspitational,writing","“I am inspired to write, and I write to inspire.”"
427,AVA.,3 likes,"alone,authors,inspirational,inspire,loneliness,lonely,love,poems,poetry,prose,qotd,quotes,solitude,writers",“there is a difference between
428,Heather W. Petty,2 likes,"authors,books,humor,writing",“I'll just say right here that whoever thought up the idea of paying dead white authors by the word should have a special place in hell with the rest of the sadists.”
429,Lani Brown,2 likes,"authors,fiction,writing","“Authors are supernatural beings. They exist in the world, also in worlds they create, and in the worlds of other authors they read.”"
430,Steven Pressfield,2 likes,"artists,authors,creativity,motivation,professional","“What we get when we turn pro is we find our power. We find our will and our voice and we find our self-respect. We become who we always were but had, until then, been afraid to embrace and live out.”"
431,Brenda Kay Winters,1 likes,"authors,books,quote,quotes,reading,reading-books",“For a book to be a good one a reader must have a connection with the characters and identify with them and have the story hold their attention and want more”
432,Carmela Dutra,1 likes,"author-visits,authors,classrooms,engaging,fun,reading-books,reading-habits,visits","“Author visits are a fun way to engage kids, and encourage reading!”"
433,Elinor Florence,1 likes,"authors,book-business,books,publishing,writer,writing","“No matter how good it is, your book will not sell itself.”"
434,Bryan Way,1 likes,"alcohol,authors,humor,humorous-quotes,taxation,writers,writing",“The problem with taxation is that authors can't write off whiskey as a business expense.”
435,Imania Margria,1 likes,"author,author-quote,author-quotes,authors,imania-margria,inspiration,inspirational,inspirational-quote,inspirational-quotes,inspire,inspiring,inspiring-author,inspiring-authors,inspiring-quote,inspiring-quotes,inspiring-thoughts,inspiring-words,inspiring-writer,inspiring-writers,life,life-lesson,life-lessons,life-quote,life-quotes,motivate,motivation,motivational,motivational-inspirational,motivational-quote,motivational-quote-of-the-day,motivational-quotes","“When we release all the negativity in our lives and notice the beauty all around us, we'll see what truly matters in life.”"
436,J.D. Mader,1 likes,"authors,reviews","“If you like a book you read, tell someone. If you hate it, tell em harder.”"
437,Robin Sacredfire,1 likes,"authors,books,writers,writing","“I'm not into writing many more books or more pages. My goal is to increase the value of each sentence I write. And for that, I have to just erase my past and bring only forward what matches the new me, things I can easily rewrite and adapt to my new perspective.”"
438,Tracy Millosovich,1 likes,"author,authors,encouragement-quotes,love,never-give-up,writing",“I'm not just building a foundation or a house with the bricks people throw at me. I'm building entire worlds. it's called writing.”
439,AVA.,1 likes,"advice,authors,hope,love,poems,poetry,poets,prose,qotd,quotes,writers",“everything i know about love
440,Beem Weeks,0 likes,"authors,authors-on-authors,writers,writing","“Storytelling is a gift, but writing is a learned art.”"
441,Joshua Cohen,0 likes,"authors,characters",“Forget the fictional characters – how many authors are being stopped on the street?”
442,Daisy Goodwin,0 likes,"authors,happy-endings,orange-prize,writers,writers-on-writing,writing","“When she was chair of the Orange Prize for Fiction in 2010, Daisy Goodwin wrote a controversial essay lamenting the 'unrelenting grimness' of so many novels and pointing out that 'generally great fiction contains light and shade'---not only misery but joy and humor. 'It is time for publishers to stop treating literary fiction as the novelistic equivalent of cod-liver oil: if it's nasty it must be good for you.”"
443,A.D. Posey,0 likes,"author-quotes,authors,authors-on-writing,awareness,inspiration,nickname,peace,pen-name,quotes,writer-quotes,writers,writers-life,writing",“A pen name is a nickname.”
444,Chris Mentillo,0 likes,"authors,biographical-books,chris-mentillo,dr-chris-mentillo-doc-mentillo,dr-mentillo,edgar-allen-poe,famous,famous-books,famous-people,famous-quotes,fiction-books,horror-authors,horror-writers,mentillo,poe,poems,writer","“While doing an enquiry on renowned horror author, “Edgar Allen Poe” I was astonished to notice how more successful his biographical books sold compared to his own books.”"
445,Deyth Banger,0 likes,"authors,writer,writers","“Stephen King and Clive Barker can make amazing works, such people's book should be on your list.”"
446,Shana Chartier,0 likes,"author,authors,authors-on-writing,authors-quote,happiness,inspirational,inspire-quotes,joy,love,writer,writers","“Even on the silent days, believe your ship will come.”"
447,Imania Margria,0 likes,"author,author-quote,author-quotes,authors,desire,desire-quotes,desires-quotes,imania-margria,inspiration,inspirational,inspirational-quote,inspirational-quotes,inspire,inspiring,inspiring-author,inspiring-authors,inspiring-quotes,inspiring-thoughts,inspiring-words,inspiring-writer,inspiring-writers,life,life-lessons,life-quote,life-quotes,love,love-quote,love-quotes,motivate,motivation,motivational,motivational-inspirational,motivational-quote,motivational-quotes,wisdom,wisdom-quotes,wise-quotes,wise-sayings,wise-thoughts,wise-words","“Capture my heart and my mind. Become my ultimate challenge, greatest vexation, strongest desire, and most precious blessing.”"
448,Imania Margria,0 likes,"author,author-quote,author-quotes,authors,desires,desires-and-dreams,desires-quotes,dreams,imania-margria,inspiration,inspirational,inspirational-quote,inspirational-quotes,inspire,inspiring,inspiring-author,inspiring-authors,inspiring-quote,inspiring-quotes,inspiring-thoughts,inspiring-words,inspiring-writer,inspiring-writers,motivate,motivation,motivational,motivational-inspirational,motivational-quote,motivational-quotes","“I always look towards the light of my desires, so I never forget where I'm going.”"
449,Nanette L. Avery,0 likes,"authors,critique",“Writing to please all readers is like cooking without seasoning …”
450,A.D. Posey,12 likes,"absorb,authors,awareness,be,energy,energy-healing,energy-quotes,film,inspiration,inspirational-quotes,laugh,live,love,screenwriters,spiritual-development,spiritual-growth,spiritual-wisdom,spirituality,truth,wisdom,women,writers",“Be the energy you want others to absorb.”
451,A.D. Posey,10 likes,"authors,awareness,be,begin,flower,inspiration,inspirational-quotes,laugh,live,love,open,peace,quotes-for-women,rise,screenwriters,smile,spiritual-growth,spirituality,truth,wisdom,women,writers","“Like a flower, feel yourself rise above and begin to open.”"
452,A.D. Posey,10 likes,"authors,awareness,be,every-day,honor,inspiration,inspirational-quotes,laugh,life-quotes,live,love,peace,screenwriters,spiritual-development,spiritual-growth,spiritual-wisdom,spirituality,truth,who-you-are,writers,writers-inspiration","“Every day, live in a way that honors who you are.”"
453,Sarah Vowell,10 likes,"authors,books,writing",“I do not think that there can ever be enough books about anything; and I say that knowing that some of them are going to be about Pilates.”
454,A.D. Posey,9 likes,"authors,awareness,create,creativity,energy,energy-healing,heartbeat,holistic,inspiration,listen-to-music,music,peace,screenwriters,songs,spirituality,truth,women-in-film,women-wisdom,write,writers,writers-quotes,writing,writing-process",“Music is a writer's heartbeat.”
455,A.D. Posey,8 likes,"achieve,authors,awareness,be,compassion,film,film-script,filmmaking,greatness,greatness-quotes,inspirational,inspirational-quotes,kindness,laugh,live,love,peace,screenwriters,screenwriting,spiritual-development,spiritual-growth,spiritual-wisdom,spirituality,truth,wisdom,women,writers,writers-inspiration","“Greatness is achieved through kindness, compassion, and love.”"
456,A.D. Posey,8 likes,"authors,energy,film,hear,laugh,live,love,morning,screenwriters,spirituality,sun,women,women-wisdom,writers-life,writers-quotes,you",“I hear you in the morning sun.”
457,A.D. Posey,5 likes,"authors,awareness,encounter,film,inspiration,journey-within,laugh,live,love,peace,screenwriters,screenwriting,spiritual-development,spiritual-growth,spiritual-wisdom,spirituality,stories,storytellers,storytelling,truth,we,within,women-in-film,writers-life,writers-quotes",“We encounter truth within.”
458,A.D. Posey,5 likes,"adrienne-posey,authors,awareness,beautiful,beauty,energy,energy-healing,film,film-lovers,inspiration,laugh,light,live,love,mindfulness,peace,screenwriters,set-free,spiritual-journey,spirituality,truth,women-in-film,women-wisdom,writers-life,writers-quotes",“Beauty is light set free.”
459,A.D. Posey,4 likes,"authors,awareness,be,dream,filmmaking,inspiration,inspirational-quotes,laugh,live,love,movies,peace,screenwriters,screenwriting,spiritual-development,spiritual-growth,spiritual-quotes,spiritual-wisdom,spirituality,transform,truth,women-in-film,write,writers,writers-inspiration",“Transform into your dream.”
460,A.D. Posey,4 likes,"authors,awareness,be,energy,energy-healing,filmmaking,gateway,grateful,gratitude,inspiration,light,mindfulness,peace,positive-life,positive-quotes,screenwriters,spirituality,truth,women-in-film,writers-life,writers-quotes",“Gratitude is the gateway to a positive life.”
461,A.D. Posey,3 likes,"authors,awareness,beautiful,beauty,breathing,film,inspiration,laugh,life,life-quotes,live,love,peace,screenwriters,simply,truth,wisdom,women,writers,writers-inspiration",“Life is beauty simply breathing.”
462,A.D. Posey,3 likes,"authors,awareness,film,inspiration,life-quotes,look,peace,screenwriters,screenwriting,smile,spirituality,together,truth,wisdom,women,world,writers",“Peace is when we look upon the world together.”
463,Annie Barrows,3 likes,"authors,book-quotes,humor","“A hint: perhaps in this case, you should refrain from throwing the book at the audience when you finish.”"
